cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url	list_type
the Salang-Sigule list	607	roedoeó	NA	zwaard	sword	pedang	-	-	393	FALSE									SWORD	1535	https://concepticon.clld.org/parameters/1535	NBL
the Salang-Sigule list	609	doema	NA	schede	sheath	sarung pedang	-	303	394	FALSE									SHEATH	3424	https://concepticon.clld.org/parameters/3424	NBL
the Salang-Sigule list	610	nitata	NA	hakken, houwen	to chip, cut, slash	menetak, membacok	-	-	395	TRUE	cut								CUT	1432	https://concepticon.clld.org/parameters/1432	NBL
the Salang-Sigule list	611	toembaˈ	12	piek, lans, werpspeer	pike, lance, javelin	tombak, lembing	304	307	396	TRUE	spear (war)		toembaˈ	spear					SPEAR	945	https://concepticon.clld.org/parameters/945	NBL
the Salang-Sigule list	611	méhé	12	piek, lans, werpspeer	pike, lance, javelin	tombak, lembing	304	307	396	TRUE	spear (war)		mèhè	lance					SPEAR	945	https://concepticon.clld.org/parameters/945	NBL
the Salang-Sigule list	612	oempit	NA	blaasroer	blow-pipe	sumpitan	305	308	397	FALSE									BLOWGUN	432	https://concepticon.clld.org/parameters/432	NBL
the Salang-Sigule list	613	oemban	NA	boog	bow	busur	306	309	398	FALSE									BOW	994	https://concepticon.clld.org/parameters/994	NBL
the Salang-Sigule list	614	koengeå	NA	pees	bowstring	tali busur	306	309	-	FALSE									BOW STRING	2119	https://concepticon.clld.org/parameters/2119	NBL
the Salang-Sigule list	618	bandera	NA	vlag	flag	bendera	308	-	-	FALSE									FLAG	2623	https://concepticon.clld.org/parameters/2623	NBL
the Salang-Sigule list	619	meriam	NA	lila	kind of small cannon	sejenis kanon kecil	620	634	-	FALSE									CANNON	3202	https://concepticon.clld.org/parameters/3202	NBL
the Salang-Sigule list	620	senapan	NA	geweer	rifle	bedil (senapan)	621	635	402	FALSE									PISTOL	3881	https://concepticon.clld.org/parameters/3881	NBL
the Salang-Sigule list	620	bedil	NA	geweer	rifle	bedil (senapan)	621	635	402	FALSE									PISTOL	3881	https://concepticon.clld.org/parameters/3881	NBL
the Salang-Sigule list	621	gofat	NA	kruit	gun powder	obat bedil	622	636	403	FALSE									GUNPOWDER	1798	https://concepticon.clld.org/parameters/1798	NBL
the Salang-Sigule list	622	bendin	NA	kogel	bullet	peluru	623	637	404	FALSE									BULLET	1114	https://concepticon.clld.org/parameters/1114	NBL
the Salang-Sigule list	623	nibendin	NA	schieten	to shoot	menembak	624	638	405	TRUE	shoot								SHOOT	1172	https://concepticon.clld.org/parameters/1172	NBL
the Salang-Sigule list	624	kondofin	NA	slinger	sling	ali-ali	309	311	406	FALSE									SLING	387	https://concepticon.clld.org/parameters/387	NBL
the Salang-Sigule list	626	peperangan	NA	oorlog	war	perang	616	631	408	FALSE									WAR	935	https://concepticon.clld.org/parameters/935	NBL
the Salang-Sigule list	627	moesoeh	NA	vijand	enemy	musuh	617	632	409	FALSE									ENEMY	1358	https://concepticon.clld.org/parameters/1358	NBL
the Salang-Sigule list	628	meriam	NA	kanon	cannon	meriam	619	633	-	FALSE									CANNON	3202	https://concepticon.clld.org/parameters/3202	NBL
the Salang-Sigule list	629	ni boentoeng dekoe	NA	koppensnellen	to go head hunting	mengayau	625	639	410	FALSE									HUNT	1435	https://concepticon.clld.org/parameters/1435	NBL
the Salang-Sigule list	630	euche eta	NA	vrede	peace	damai	626	640	-	FALSE									PEACE	1338	https://concepticon.clld.org/parameters/1338	NBL
the Salang-Sigule list	631	goeta	NA	versterking	fortification	benteng (pertahanan)	592	602	411	FALSE									FORTRESS	1938	https://concepticon.clld.org/parameters/1938	NBL
the Salang-Sigule list	634	iadedenih gen oelawan	NA	zich overwonnen geven	to surrender	menyerah	627	641	-	FALSE									SURRENDER	1696	https://concepticon.clld.org/parameters/1696	NBL
the Salang-Sigule list	635	menang	NA	overwinning	victory	kemenangan	628	642	-	FALSE									VICTORY	783	https://concepticon.clld.org/parameters/783	NBL
the Salang-Sigule list	636	niòhé	NA	krijgsgevangene	prisoner of war	tawanan perang	629	643	414	FALSE									PRISONER	1072	https://concepticon.clld.org/parameters/1072	NBL
the Salang-Sigule list	637	toewafa féeˈ	NA	gezant	delegate	utusan	631	645	415	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	639	tanda hormat	NA	huldeblijk (upeti, bakti)	tribute <as a mark of respect >	upeti, bakti	632	646	-	FALSE									GIFT	2982	https://concepticon.clld.org/parameters/2982	NBL
the Salang-Sigule list	640	belasting	NA	belasting	tax	pajak	633	647	-	FALSE									TAX	873	https://concepticon.clld.org/parameters/873	NBL
the Salang-Sigule list	642	sikèh	NA	ploeg	plough	bajak	433	435	-	FALSE									PLOUGH (INSTRUMENT)	2154	https://concepticon.clld.org/parameters/2154	NBL
the Salang-Sigule list	643	badjàˈ	NA	ploegijzer	coulter	mata bajak	434	436	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	645	toengke boementaj	NA	pootstok	dibble	tugal	436	438	418	FALSE									DIBBLE STICK	3155	https://concepticon.clld.org/parameters/3155	NBL
the Salang-Sigule list	649	balichi	NA	grasmes	knife for cutting grass	alat babat rumput	438	440	421	FALSE									SICKLE OR SCYTHE	2132	https://concepticon.clld.org/parameters/2132	NBL
the Salang-Sigule list	650	rèmbèˈ	NA	sikkel	sickle	sabit	439	441	-	FALSE									SICKLE	341	https://concepticon.clld.org/parameters/341	NBL
the Salang-Sigule list	652	tjangkol	NA	patjoel, hak	hoe	pacul	441	443	423	FALSE									HOE	284	https://concepticon.clld.org/parameters/284	NBL
the Salang-Sigule list	653	ladang	NA	tuin	garden	kebun	442	444	-	FALSE									GARDEN	586	https://concepticon.clld.org/parameters/586	NBL
the Salang-Sigule list	654/655	novi	NA	rijstveld <unsp.>	rice-field (wet, sawah) [ID_654]; rice-field (dry) [ID_655]	sawah [ID_654]; huma, ladang [ID_655]	443	445	424	FALSE									NA	NA	NA	NBL
the Salang-Sigule list	657/658	loeëng	NA	waterleiding, waterloop <unsp.>	irrigation [ID_657]; water-course channel [ID_658]	pengairan [ID_657]; aliran air, terusan [ID_658]	-	-	426	FALSE									NA	NA	NA	NBL
the Salang-Sigule list	657/658	pesoran	NA	waterleiding, waterloop <unsp.>	irrigation [ID_657]; water-course channel [ID_658]	pengairan [ID_657]; aliran air, terusan [ID_658]	-	-	426	FALSE									NA	NA	NA	NBL
the Salang-Sigule list	659	galoe	NA	omheining	fence, hedge	pagar	446	448	427	FALSE									FENCE	1690	https://concepticon.clld.org/parameters/1690	NBL
the Salang-Sigule list	660	boea boeahan	NA	gewas	vegetation	tumbuhan	447	449	-	FALSE									PLANT (VEGETATION)	653	https://concepticon.clld.org/parameters/653	NBL
the Salang-Sigule list	662/663	nitoněu	NA	zaaien <unsp.>	to sow (placing the seeds in holes in the ground) [ID_662]; to sow (scattering the seeds about) [ID_663]	menugal benih [ID_662]; menabur benih [ID_663]	448	450	429	FALSE									SOW SEEDS	748	https://concepticon.clld.org/parameters/748	NBL
the Salang-Sigule list	664	toneumeu	NA	zaad	seed	benih	449	451	-	TRUE									SEED	714	https://concepticon.clld.org/parameters/714	NBL
the Salang-Sigule list	665	taneuh	NA	planten	to plant	menanam	450	452	430	FALSE									PLANT (SOMETHING)	1486	https://concepticon.clld.org/parameters/1486	NBL
the Salang-Sigule list	668	ateha	NA	rijp	ripe	masak, matang	451	453	433	FALSE									RIPE	178	https://concepticon.clld.org/parameters/178	NBL
the Salang-Sigule list	669	adenaen oenoko	NA	onrijp	unripe	belum masak, belum matang, mentah	452	454	434	FALSE							<omoko?>		UNRIPE	1958	https://concepticon.clld.org/parameters/1958	NBL
the Salang-Sigule list	671/672	mamahi	NA	oogsten <unsp.>	to reap [ID_671]; to gather [ID_672]	menuai [ID_671]; mengumpulkan (buah-buahan) [ID_672]	453	455	-	FALSE									HARVEST	611	https://concepticon.clld.org/parameters/611	NBL
the Salang-Sigule list	673	niboengkan	13	plukken	to pick	memetik	-	-	436	FALSE			nioendal boengau	to pick a flower					PICK	2148	https://concepticon.clld.org/parameters/2148	NBL
the Salang-Sigule list	673	niboengkan	13	plukken	to pick	memetik	-	-	436	FALSE			akete afeu dengan <...?>	to pluck a chicken					PICK	2148	https://concepticon.clld.org/parameters/2148	NBL
the Salang-Sigule list	674	iahoeng	NA	mais, djagong	maize, corn	jagung	457	459	437	FALSE									MAIZE	506	https://concepticon.clld.org/parameters/506	NBL
the Salang-Sigule list	679	katimoen	NA	komkommer	cucumber	ketimun	459	461	440	FALSE									CUCUMBER	496	https://concepticon.clld.org/parameters/496	NBL
the Salang-Sigule list	681	bachoeng	NA	tabak	tobacco	tembakau	460	462	365	FALSE									TOBACCO	974	https://concepticon.clld.org/parameters/974	NBL
the Salang-Sigule list	682	defoe	NA	suikerriet	sugarcane	tebu	461	463	442	FALSE									SUGAR CANE	146	https://concepticon.clld.org/parameters/146	NBL
the Salang-Sigule list	684	bawang	NA	ui	onion	bawang	-	465	443	FALSE									ONION	2366	https://concepticon.clld.org/parameters/2366	NBL
the Salang-Sigule list	688	chalèdè	NA	cassave, katela	cassava	ketela	465	468	448	FALSE									CASSAVA	925	https://concepticon.clld.org/parameters/925	NBL
the Salang-Sigule list	690	apěli	NA	spaanse peper, tjabe	red pepper	cabe	466	469	449	FALSE									CHILI PEPPER	919	https://concepticon.clld.org/parameters/919	NBL
the Salang-Sigule list	691	daloe boni o	NA	kokos (boom)	coconut (tree)	kelapa (pohon)	467	470	450	FALSE									COCONUT TREE	147	https://concepticon.clld.org/parameters/147	NBL
the Salang-Sigule list	701	goela	NA	suiker	sugar	gula	472	476	-	FALSE									SUGAR	862	https://concepticon.clld.org/parameters/862	NBL
the Salang-Sigule list	702	tongkoen	NA	nipah	nipa palm	pohon nipah	481	485	454	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	703	roembiå	NA	sago boem	sago tree	pohon sagu	482	486	359	FALSE									SAGO PALM	2372	https://concepticon.clld.org/parameters/2372	NBL
the Salang-Sigule list	704	batōˈ	NA	sago	sago	sagu	483	487	-	FALSE									SAGO	2270	https://concepticon.clld.org/parameters/2270	NBL
the Salang-Sigule list	705	kain kapan	NA	katoen	cotton	kapas	479	483	-	FALSE									COTTON	1850	https://concepticon.clld.org/parameters/1850	NBL
the Salang-Sigule list	706	kapan	NA	kapok	kapok	kapuk	480	484	455	FALSE									KAPOK TREE	2499	https://concepticon.clld.org/parameters/2499	NBL
the Salang-Sigule list	707	pandan	NA	pandan	pandanus	pandan	473	477	456	FALSE									PANDANUS	469	https://concepticon.clld.org/parameters/469	NBL
the Salang-Sigule list	708	monge	NA	mangga	mango	mangga	474	478	457	FALSE									MANGO	2398	https://concepticon.clld.org/parameters/2398	NBL
the Salang-Sigule list	709	anaˈha	NA	nangka	Artocarpus integrifolia, Jack fruit	nangka	475	479	458	FALSE									JACKFRUIT	2655	https://concepticon.clld.org/parameters/2655	NBL
the Salang-Sigule list	710	ramboetantōˈ	NA	ramboetan	Nephelium lappaceum	rambutan	476	480	459	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	711	doelian	NA	doerian	Durio zibethinus	durian	477	481	460	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	712	djamboe	NA	djamboe	Eugenia	jambu	478	482	461	FALSE									GUAVA	3981	https://concepticon.clld.org/parameters/3981	NBL
the Salang-Sigule list	716-718	gaai (baba)	NA	pisang <unsp.>	banana [ID_716]; banana (wild) [ID_717]; banana (fruit) [ID_718]	pisang [ID_716]; pisang (liar) [ID_717]; pisang (buah) [ID_718]	489	492	464	FALSE									BANANA	868	https://concepticon.clld.org/parameters/868	NBL
the Salang-Sigule list	720	dima	NA	sinaasappel	orange	jeruk manis	491	494	-	FALSE									ORANGE (FRUIT)	2627	https://concepticon.clld.org/parameters/2627	NBL
the Salang-Sigule list	722	djeroeg	NA	citroen	lemon	jeruk sitrun	493	497	-	FALSE									LEMON	3091	https://concepticon.clld.org/parameters/3091	NBL
the Salang-Sigule list	723	kopi	NA	koffie	coffee	kopi	494	498	-	FALSE									COFFEE	1299	https://concepticon.clld.org/parameters/1299	NBL
the Salang-Sigule list	726	gambir	NA	gambir	Uncaria gambir	gambir	498	503	364	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	728	afōˈ	NA	kalk (kalksteen)	lime	kapur	576	502	363	FALSE									LIME (MATERIAL)	2540	https://concepticon.clld.org/parameters/2540	NBL
the Salang-Sigule list	729	hondin	NA	kurkuma (koenjit)	Curcuma domestica	kunyit	500	505	467	FALSE									TURMERIC	2842	https://concepticon.clld.org/parameters/2842	NBL
the Salang-Sigule list	731	noeeoe	NA	rotan	rattan, cane	rotan	501	506	469	FALSE									RATTAN	2497	https://concepticon.clld.org/parameters/2497	NBL
the Salang-Sigule list	732	galèˈ (lee foen saboe)	14	bamboe	bamboo	bambu	502	507	470	FALSE			galèˈ (lee foen saboe); tiëng boelòh						BAMBOO	1927	https://concepticon.clld.org/parameters/1927	NBL
the Salang-Sigule list	732	tiëng boelòh	14	bamboe	bamboo	bambu	502	507	470	FALSE			galèˈ (lee foen saboe); tiëng boelòh						BAMBOO	1927	https://concepticon.clld.org/parameters/1927	NBL
the Salang-Sigule list	732	tieng doròe galèh	14	bamboe	bamboo	bambu	502	507	470	FALSE			tieng doròe galèh	bamboo (doeri)					BAMBOO	1927	https://concepticon.clld.org/parameters/1927	NBL
the Salang-Sigule list	733	ramboeng	NA	jonge bamboespruit	bamboo shoot, young sprout	rebung	-	508	471	FALSE									BAMBOO SHOOT	2494	https://concepticon.clld.org/parameters/2494	NBL
the Salang-Sigule list	734	taloe	NA	boom	tree	pohon	541	549	472	TRUE									TREE	906	https://concepticon.clld.org/parameters/906	NBL
the Salang-Sigule list	735	keeuweeuw	NA	hout	wood	kayu	-	-	473	FALSE									WOOD	1803	https://concepticon.clld.org/parameters/1803	NBL
the Salang-Sigule list	737	mané	NA	klimmen	to climb	memanjat	-	543	-	FALSE									CLIMB	1102	https://concepticon.clld.org/parameters/1102	NBL
the Salang-Sigule list	739/740	daha	NA	tak <unsp.>	branch [ID_739]; twig [ID_740]	dahan, cabang [ID_739]; ranting [ID_740]	542	550	477	FALSE									BRANCH	1531	https://concepticon.clld.org/parameters/1531	NBL
the Salang-Sigule list	741	kra	NA	kernhout	the heart of the tree	hati kayu (pohon)	-	551	478	FALSE									WOOD	1803	https://concepticon.clld.org/parameters/1803	NBL
the Salang-Sigule list	742-744	lèmbanaˈ	NA	wortel <unsp.>	main root, taproot [ID_742]; side-root [ID_743]; fibrous root [ID_744]	ibu akar, akar tunggang [ID_742]; akar samping [ID_743]; akar serabut [ID_744]	543	552	479	TRUE	root								ROOT	670	https://concepticon.clld.org/parameters/670	NBL
the Salang-Sigule list	746	boeloe	NA	blad	leaf	daun	544	553	481	TRUE									LEAF	628	https://concepticon.clld.org/parameters/628	NBL
the Salang-Sigule list	748	bebè	NA	schors	bark	kulit kayu	545	554	483	TRUE									BARK	1204	https://concepticon.clld.org/parameters/1204	NBL
the Salang-Sigule list	749	doroi	NA	doorn	thorn, spine	duri	-	-	484	FALSE									THORN	124	https://concepticon.clld.org/parameters/124	NBL
the Salang-Sigule list	750	idonew	NA	sap	sap	air (buah, pohon)	546	555	485	FALSE									SAP	345	https://concepticon.clld.org/parameters/345	NBL
the Salang-Sigule list	752	eulasi	NA	pinang	Areca catechu LINN	pinang	496	500	361	FALSE									BETELNUT	217	https://concepticon.clld.org/parameters/217	NBL
the Salang-Sigule list	753	dafoeōˈ	NA	sirih	betel	sirih	497	501	362	FALSE									BETEL PEPPER VINE	177	https://concepticon.clld.org/parameters/177	NBL
the Salang-Sigule list	754	oeloeˈ fatoeˈ	NA	hars	resin	damar (umum)	548	556	-	FALSE									RESIN	664	https://concepticon.clld.org/parameters/664	NBL
the Salang-Sigule list	755	oelafatoe	NA	damar	resin (from the damar tree)	damar (khusus dari pohon damar)	503	509	486	FALSE									RESIN	664	https://concepticon.clld.org/parameters/664	NBL
the Salang-Sigule list	757	(ojun) bènè	NA	spruit	sprout	tunas	549	557	-	FALSE									SPROUT (SHOOT)	3358	https://concepticon.clld.org/parameters/3358	NBL
the Salang-Sigule list	758	boenga	NA	bloem	flower	bunga	550	558	488	TRUE									FLOWER	239	https://concepticon.clld.org/parameters/239	NBL
the Salang-Sigule list	759	boeah	NA	vrucht	fruit	buah	551	559	489	TRUE									FRUIT	1507	https://concepticon.clld.org/parameters/1507	NBL
the Salang-Sigule list	761	bébé	NA	schil	rind, peel	kulit buah	552	560	491	FALSE									SKIN (OF FRUIT)	2373	https://concepticon.clld.org/parameters/2373	NBL
the Salang-Sigule list	762	nibébé	NA	schillen	to peel	menguliti, mengupas	-	-	492	FALSE									PEEL	275	https://concepticon.clld.org/parameters/275	NBL
the Salang-Sigule list	763	éfaloen	NA	pit	pip, stone	biji	553	561	493	FALSE									STONE (OF FRUIT)	1762	https://concepticon.clld.org/parameters/1762	NBL
the Salang-Sigule list	764	ofe ahoe	NA	vruchtvlees	the flesh of the fruit	daging buah	554	562	494	FALSE									FLESH	2259	https://concepticon.clld.org/parameters/2259	NBL
the Salang-Sigule list	765	tali ènaloe	NA	tros	bunch	rangkai, tangkai, tandan	555	563	495	FALSE									BUNCH	1966	https://concepticon.clld.org/parameters/1966	NBL
the Salang-Sigule list	766	lanicha (bonio)	15	olie	oil	minyak	556	564	496	FALSE			bonio		(klappa)				OIL (HYDROPHOBIC LIQUID)	2556	https://concepticon.clld.org/parameters/2556	NBL
the Salang-Sigule list	770	baleuché	NA	gras	grass	rumput	485	488	500	TRUE									GRASS	606	https://concepticon.clld.org/parameters/606	NBL
the Salang-Sigule list	771	lambana	16	onkruid	weeds	rumput	486	489	500	FALSE			ramban	to collect edible herbs			“ramban” is Javanese; the /r/ and /d/ sound is /l/		WEED	3288	https://concepticon.clld.org/parameters/3288	NBL
the Salang-Sigule list	774	binatang	NA	dier, beest	animal, beast	binatang	345	347	503	TRUE	animal								ANIMAL	619	https://concepticon.clld.org/parameters/619	NBL
the Salang-Sigule list	778	keogio	NA	staart	tail	ekor	355	357	506	TRUE									TAIL	1220	https://concepticon.clld.org/parameters/1220	NBL
the Salang-Sigule list	779	kahé	NA	poot	paw	kaki binatang	347	349	507	FALSE									PAW	2965	https://concepticon.clld.org/parameters/2965	NBL
the Salang-Sigule list	780	tèněp	NA	hoef	hoof	kuku binatang	348	350	508	FALSE									HOOF	152	https://concepticon.clld.org/parameters/152	NBL
the Salang-Sigule list	781	danga	NA	klauw	claw	cakar	349	351	509	TRUE									CLAW	72	https://concepticon.clld.org/parameters/72	NBL
the Salang-Sigule list	784	moeisungěu	NA	snuit	snout, muzzle	moncong	-	-	512	FALSE									SNOUT	2200	https://concepticon.clld.org/parameters/2200	NBL
the Salang-Sigule list	786	gafi	NA	vleugel	wing	sayap	351	353	514	TRUE									WING	1257	https://concepticon.clld.org/parameters/1257	NBL
the Salang-Sigule list	787	boe	NA	veren	feather	bulu burung	352	354	515	FALSE									FEATHER	1201	https://concepticon.clld.org/parameters/1201	NBL
the Salang-Sigule list	788	oemoembōˈ	NA	vliegen	to fly	terbang	-	-	516	TRUE	fly, to								FLY (MOVE THROUGH AIR)	1441	https://concepticon.clld.org/parameters/1441	NBL
the Salang-Sigule list	789	sangka	NA	nest	nest	sarang	353	355	517	FALSE									NEST	539	https://concepticon.clld.org/parameters/539	NBL
the Salang-Sigule list	790	adoeloe	NA	ei	egg	telur	354	356	518	TRUE									EGG	744	https://concepticon.clld.org/parameters/744	NBL
the Salang-Sigule list	794	aelup	17	tam varken	domesticated pig	babi	356	358	522	FALSE			aelup	domesticated, tame					PIG	1337	https://concepticon.clld.org/parameters/1337	NBL
the Salang-Sigule list	794	eundeu	17	tam varken	domesticated pig	babi	356	358	522	FALSE			eundeu	pig					PIG	1337	https://concepticon.clld.org/parameters/1337	NBL
the Salang-Sigule list	794	aelup	17	tam varken	domesticated pig	babi	356	358	522	FALSE			inalan eundeu, neuhi-bantai	pork					PIG	1337	https://concepticon.clld.org/parameters/1337	NBL
the Salang-Sigule list	797	manggaham	NA	knorren	to grunt	menggeram	357	359	525	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	799	kambing	NA	geit	goat	kambing	-	360	526	FALSE									GOAT	1502	https://concepticon.clld.org/parameters/1502	NBL
the Salang-Sigule list	800-802	keubaw djalang	NA	buffel <unsp.>	buffalo (female) [ID_800]; buffalo (male) [ID_801]; buffalo (calf) [ID_802]	kerbau betina [ID_800]; kerbau jantan [ID_801]; anak kerbau [ID_802]	362	364	527	FALSE									NA	NA	NA	NBL
the Salang-Sigule list	803	sapi	NA	koe	cow	sapi (betina)	360	362	-	FALSE									COW	1007	https://concepticon.clld.org/parameters/1007	NBL
the Salang-Sigule list	803/804	sapialiha	NA	koebeest, rund <unsp.>	cow [ID_803]; bull [ID_804]	sapi (betina) [ID_803]; sapi (jantan) [ID_804]	360	362	528	FALSE									NA	NA	NA	NBL
the Salang-Sigule list	805	faundu	NA	bleren	to bleat, to moo	menguak	-	361	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Salang-Sigule list	807	koedå	NA	paard	horse	kuda	363	365	530	FALSE									HORSE	615	https://concepticon.clld.org/parameters/615	NBL
the Salang-Sigule list	811	nahoēˈ	NA	hond	dog	anjing	366	368	534	TRUE									DOG	2009	https://concepticon.clld.org/parameters/2009	NBL
the Salang-Sigule list	812	faouwfaouw	NA	blaffen	to bark	menyalak	367	369	535	FALSE									BARKING	1206	https://concepticon.clld.org/parameters/1206	NBL
the Salang-Sigule list	813	maōˈ	NA	kat, poes	cat	kucing	368	370	536	FALSE									CAT	1208	https://concepticon.clld.org/parameters/1208	NBL
the Salang-Sigule list	816	manggaham	NA	brullen	to roar	mengaum	371	373	-	FALSE									ROAR	3896	https://concepticon.clld.org/parameters/3896	NBL
the Salang-Sigule list	818	boe eundeu	NA	stekelvarken	porcupine	landak	373	375	539	FALSE									PORCUPINE	2510	https://concepticon.clld.org/parameters/2510	NBL
the Salang-Sigule list	823	baloeng	NA	casuaris	cassowary	burung kasuari	375	377	544	FALSE									CASSOWARY	466	https://concepticon.clld.org/parameters/466	NBL
the Salang-Sigule list	824	boelum	NA	duif (soorten)	pigeon	burung merpati	376	378	545	FALSE									DOVE	1853	https://concepticon.clld.org/parameters/1853	NBL
the Salang-Sigule list	826	manoe	NA	hoen, kip	hen, chicken	ayam	378	380	547	FALSE									CHICKEN	1318	https://concepticon.clld.org/parameters/1318	NBL
the Salang-Sigule list	833	été	NA	eend	duck	bebek	-	-	549	FALSE									DUCK	1360	https://concepticon.clld.org/parameters/1360	NBL
the Salang-Sigule list	834	keàkè	NA	papegaai	parrot	burung nuri	379	381	550	FALSE									PARROT	882	https://concepticon.clld.org/parameters/882	NBL
the Salang-Sigule list	842	manoe²	NA	uil	owl	burung hantu	-	-	557	FALSE									OWL	735	https://concepticon.clld.org/parameters/735	NBL
the Salang-Sigule list	843	mǎnjòˈ	NA	kiekendief	kite (bird)	burung rajawali	383	385	-	FALSE									EAGLE	1905	https://concepticon.clld.org/parameters/1905	NBL
the Salang-Sigule list	844	manoe²	NA	vogel (in het algemeen en andere soorten)	bird	burung	350	352	558	TRUE									BIRD	937	https://concepticon.clld.org/parameters/937	NBL
the Salang-Sigule list	845	koebin	NA	eekhoorn	squirrel	bajing, tupai	384	386	559	FALSE									SQUIRREL	1628	https://concepticon.clld.org/parameters/1628	NBL
the Salang-Sigule list	846	běnggè	NA	vleermuis	bat	kelelawar	385	387	560	FALSE									BAT	1793	https://concepticon.clld.org/parameters/1793	NBL
the Salang-Sigule list	847	maungeé	NA	kalong	bat	kalong	386	388	-	FALSE									BAT	1793	https://concepticon.clld.org/parameters/1793	NBL
the Sigule-Salang list	853	tioˈ baoen	NA	stinkmuis, spitsmuis	shrew	tikus mondok	391	393	565	FALSE									SHREW	3676	https://concepticon.clld.org/parameters/3676	NBL
the Sigule-Salang list	861	euchi	18	net	net	jala	560	567	573	FALSE			banoeó menang dêla	fish-net					NET (FOR CATCHING)	2653	https://concepticon.clld.org/parameters/2653	NBL
the Sigule-Salang list	866	koetoe	NA	luis	louse	kutu	393	395	578	TRUE									LOUSE	1392	https://concepticon.clld.org/parameters/1392	NBL
the Sigule-Salang list	870	koetoe	NA	vlo	flea	kutu anjing	395	397	582	FALSE									FLEA	232	https://concepticon.clld.org/parameters/232	NBL
the Sigule-Salang list	871	koehoeng	NA	spin	spider	laba-laba	396	398	583	FALSE									SPIDER	843	https://concepticon.clld.org/parameters/843	NBL
the Sigule-Salang list	878	alifombong	NA	kapel, vlinder	butterfly	kupu-kupu	399	401	590	FALSE									BUTTERFLY	1791	https://concepticon.clld.org/parameters/1791	NBL
the Sigule-Salang list	879	bàhàng	NA	rups	caterpillar	ulat (bulu)	400	402	592	FALSE									CATERPILLAR	2247	https://concepticon.clld.org/parameters/2247	NBL
the Sigule-Salang list	881	koeali bela	NA	sprinkhaan	grasshopper	belalang	401	403	593	FALSE									GRASSHOPPER	607	https://concepticon.clld.org/parameters/607	NBL
the Sigule-Salang list	886	awa	19	slang	snake	ular	403	405	598	TRUE			såwå, sawer				Javanese		SNAKE	730	https://concepticon.clld.org/parameters/730	NBL
the Sigule-Salang list	888	samali koekoei	NA	duizendpoot	centipede	lipan	-	406	600	FALSE									CENTIPEDE	1974	https://concepticon.clld.org/parameters/1974	NBL
the Sigule-Salang list	890	achènon	NA	slak	snail, slug	siput	-	-	602	FALSE									SNAIL	1543	https://concepticon.clld.org/parameters/1543	NBL
the Sigule-Salang list	891	(òafoe) auchoe	NA	worm	worm	cacing	414	417	603	TRUE									WORM	1219	https://concepticon.clld.org/parameters/1219	NBL
the Sigule-Salang list	892	bailing	NA	garnaal	shrimp	udang	406	409	604	FALSE									SHRIMP	2349	https://concepticon.clld.org/parameters/2349	NBL
the Sigule-Salang list	893	lanko	NA	krab	crab	kepiting	407	410	605	FALSE									CRAB	2348	https://concepticon.clld.org/parameters/2348	NBL
the Sigule-Salang list	894	laoeloh	NA	schelp	shell	kulit kerang	408	411	606	FALSE									SHELL	598	https://concepticon.clld.org/parameters/598	NBL
the Sigule-Salang list	896	loembò²	NA	kikvors	frog	katak	409	412	608	FALSE									FROG	503	https://concepticon.clld.org/parameters/503	NBL
the Sigule-Salang list	898	heihé	NA	hagedis	lizard	kadal	410	413	610	FALSE									LIZARD	632	https://concepticon.clld.org/parameters/632	NBL
the Sigule-Salang list	900	boja	NA	krokodil	crocodile	buaya	411	414	612	FALSE									CROCODILE	1857	https://concepticon.clld.org/parameters/1857	NBL
the Sigule-Salang list	901/902	feunoe	NA	schildpad <unsp.>	tortoise [ID_901]; turtle [ID_902]	kura-kura [ID_901]; penyu [ID_902]	413	416	-	FALSE									NA	NA	NA	NBL
the Sigule-Salang list	903	daneu	NA	heelal	universe	alam semesta	505	511	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA	NBL
the Sigule-Salang list	905	langi	NA	hemel	sky	langit	507	512	615	TRUE									SKY	1732	https://concepticon.clld.org/parameters/1732	NBL
the Sigule-Salang list	906	mata aenàˈ	NA	zon	sun	matahari	508	513	616	TRUE									SUN	1343	https://concepticon.clld.org/parameters/1343	NBL
the Sigule-Salang list	907	mangkim	NA	zonsverduistering	sun eclipse	gerhana matahari	509	514	617	FALSE									ECLIPSE	2285	https://concepticon.clld.org/parameters/2285	NBL
